x,y
503.1285105258179,190.4700246865368
497.9139307131593,214.7023954806997
498.91985216137675,239.66955977173788
498.7479599999999,264.68053496543575
498.74796,289.66814397517226
498.7479599999999,314.6613549966452
498.74796000000003,339.67109710628876
498.74796,364.67301138431355
498.74796,389.6665362288761
498.74796,414.66383665351634
498.74796000000003,439.6787007912817
498.74796,464.66900747032685
498.74796,489.6791925216443
498.74796000000003,514.6725249041749
509.30589484955226,535.6196256061344
532.3275939136139,544.918421853512
541.6830716619011,560.1075982876239
517.2420321484374,560.1287455859376
498.66127999999986,557.6502249197065
498.6612799999999,582.6475110417625
498.59048373458796,607.6493801851302
499.7231980610085,632.4814375292854
512.5128897257489,652.3403318172137
535.642095245368,660.45854846665
560.4887075825498,659.5424687228395
584.6714317555881,653.4942098860605
608.0290371035919,644.6185862787797
594.316964415084,627.7319712798947
576.960654749479,610.459733778658
585.4783955576173,599.6792848060677
606.8172195259488,611.3281207490074
629.5128357757894,621.6138873016274
654.4377081308037,622.4628628809135
677.0029134138141,612.5064361619383
690.44305663187,591.9216054536157
686.8876509213467,568.142158383466
665.561569880065,559.4059559334892
641.1380653110286,554.1049347075376
619.5463224382637,541.6391741474358
602.4530859040938,523.4551623642623
591.084662505355,501.6774670874596
598.2605425820539,480.0072249067406
616.2840215076427,494.393822995128
626.0351603787109,517.0125044454003
645.1812938559256,532.6707894121282
668.2074154363808,542.2403588796162
692.7574022482944,546.3910166788538
717.4681680958391,543.031253497595
740.4123390090696,533.2902490353583
758.9496437662987,516.8109398725305
770.3586061972616,495.1204658981114
767.2781799999996,470.79065508833054
775.2796456613918,449.64602866286276
791.5285455078119,431.1787781591797
795.9361840664709,407.21274817486903
786.1309699937337,384.4580264994622
769.1903922220537,366.4660543728093
746.7996043099733,356.4805033771296
722.1413995934515,352.8635032123336
710.4141596918904,338.2429551012153
735.1228107219868,336.12965625891877
759.3312687839217,341.7627063698453
782.7078620140832,348.5495281691742
795.2097460039887,330.8161730917195
792.319370443789,306.37471587511544
777.3594268746773,286.8542519446637
757.9184572926395,271.156817347583
743.6896512988274,253.1124392448426
740.0799111631302,228.6669640205825
727.3814073931662,207.4298196437002
707.5921193944209,192.3157697990688
684.3180094169516,183.22749017938543
662.6199041371568,172.72347263827965
644.4149231046566,155.96155332461953
621.6654148850052,146.68558985685294
597.1099687897874,142.04257192574426
572.3617417590021,143.32253153244613
548.1368715589656,149.3044637608764
526.4315287146287,161.4222919910939
509.11782931923057,179.36310908281223
474.98856,275.4232077042866
474.98856,300.4181873348612
474.98856,325.4230024720199
474.98856,350.42944923300746
474.98856,375.42754902672567
474.98856,400.41403923969267
474.98856,425.4256036584121
474.98856000000006,450.4153779417534
474.16435515369994,475.31196593341986
463.1988441330585,496.86867586694154
441.33221314172954,504.40745
426.4869128867436,517.6607621330643
444.6317130871709,522.91469
468.833340846634,516.886352303543
473.84692000000007,538.9932204808608
473.84692000000007,563.9847642897028
473.84692,588.9982799006973
473.84692000000007,613.9837185405706
471.7984289763271,638.5363233953105
454.48680849357333,654.910495628608
430.4991547171207,660.1502082812762
405.6460531944108,657.7684014133034
391.2690183993713,644.358925755224
389.64411058147437,619.6190754713439
395.4039596138514,601.2984802215062
376.25024187500003,604.3531779687498
354.95002602755545,617.2449459437281
330.7574212322222,622.7646716120437
306.45351472684223,617.7843843590103
285.90387518485073,604.0145504500388
280.1187051763586,580.3781279904686
294.24931360985653,564.2267261056884
318.4027742612511,557.9939464325221
341.4124421167911,548.5565134972842
361.3639881993386,533.5995012730549
375.78731642511525,513.3658735667326
381.8867305259474,489.6029439393465
362.4307434213888,481.7060254566537
354.3150282961742,504.0901623678179
339.38973582443776,523.5908702211959
318.29452950004094,536.5695719985221
294.82064294590594,545.0153930166946
270.08640344493347,544.9206968820705
245.80542729859022,539.2318192359847
224.22177831248274,526.9023727601145
208.34217286463118,507.8273658764586
202.29389299538468,484.3988358263285
209.54094756347646,461.02863854003897
190.8649658698892,444.4587663549908
177.9764054115676,423.2723325691604
176.7238807895281,399.2676534505273
189.41117453525655,378.05404188502786
209.74566199275773,364.02120973205814
233.32372610885076,355.7843008064194
257.218286646162,348.4603293813858
255.26043031760634,336.2059071689715
231.66149958862783,337.2846866154917
207.3026320129393,342.9273059625243
184.85052190990507,350.65382907963357
176.16230475130067,327.7121769110393
181.57238616634802,303.6843814347047
196.09675866055474,283.68128450022806
217.36879384201814,270.5512467652262
229.32178881973252,252.77593508590692
230.8181886903666,228.5779753967666
244.62326044639144,208.06224089422514
265.05897302403145,193.7105884001454
287.2538994143192,182.64310203834407
308.91403499999984,171.8165649999999
328.3686348867837,156.29408039790846
350.46413424380114,144.66975606190402
375.0758473240064,141.44412859887115
399.6931132214427,142.17458544486112
423.87757829433156,148.27740193747826
445.43762378194276,160.25372745104386
463.26393822503286,177.66382772619227
473.6087195179622,199.9235463410269
470.217586729113,224.5095795109617
458.8346566298552,246.49517915328943
439.8442119219738,262.5436760385206
416.60096416424744,271.71269933498445
403.4757851707145,284.1455399031509
423.6748000214908,288.0289843887572
447.0775751694549,279.38985497756596
467.7323527779467,265.5539125510171
